index	dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
0	0.0	0.17	time, violence, end, change, head, student, barackobama, stop, step, ready	1134581569786695681	5961	https://abcnews.go.com/Politics/joe-jill-biden-attend-american-federation-teachers-town/story?id=63319685	https://twitter.com/JoeBiden/status/1134581569786695681	1248	1559340300	America’s teachers have been forced to make ends meet with too little pay and too few resources. That changes with a Biden Administration. We’ll finally support our educators with the pay and dignity they deserve. ...	[]	[]		JoeBiden
1	2.0	0.2303	romney, plan, ryan, call, medicare, child, put, cut, give, health	1134521171721052164	3455	http://JoeBiden.com/Education	https://twitter.com/JoeBiden/status/1134521171721052164	772	1559325900	One in five children experience mental health challenges, but too many don’t get help. My plan doubles the number of mental health professionals in schools to ensure every student gets the support they need. Read the full plan here:  	[]	[]	pic.twitter.com/03B7c9Zza7	JoeBiden
2	3.0	0.153	work, stand, fight, tomorrow, proud, act, teacher, pay, future, world	1134498619778899968	3126	https://twitter.com/ChadHGriffin/status/1133472128601329664	https://twitter.com/JoeBiden/status/1134498619778899968	602	1559320500	Every day, we’re witnessing the Trump Administration attack the hard fought progress made by the LGBTQ community. We can't go backwards. It's up to all of us to stand up to these injustices. I'm looking forward to joining  @HRC tomorrow to talk about the work that remains. ...	[]	['HRC']		JoeBiden
3	1.0	0.1944	woman, year, life, man, forward, honor, move, word, clear, incredible	1134255673410064384	1947		https://twitter.com/JoeBiden/status/1134255673410064384	221	1559262600	Thad Cochran was a friend and a true patriot in every sense of the word. Jill and I are sending our condolences to Thad’s family, he will be sorely missed.	[]	[]		JoeBiden
4	1.0	0.1834	woman, year, life, man, forward, honor, move, word, clear, incredible	1134248373744164865	2720		https://twitter.com/JoeBiden/status/1134248373744164865	344	1559260860	Jill and I were honored to join today’s Memorial Day service in Delaware. We must remember the brave women and men — and their families — who gave everything in service to our nation.	[]	[]	pic.twitter.com/h1B0JMNzT4	JoeBiden
5	6.0	0.1465	week, speak, support, debate, check, matter, share, barack, story, speech	1134241402525749259	18933		https://twitter.com/JoeBiden/status/1134241402525749259	1537	1559259180	Thank you  @KamalaHarris from me, Jill, & all the Bidens for your kind remembrance of Beau today. My dad used to say that you know you are a success as a parent when you turn & look at your child & realize they turned out better than you — I'm so proud of the man Beau became.	[]	['KamalaHarris']		JoeBiden
6	3.0	0.2048	work, stand, fight, tomorrow, proud, act, teacher, pay, future, world	1134211380377260037	1458	http://JoeBiden.com/Education	https://twitter.com/JoeBiden/status/1134211380377260037	316	1559252040	We’ve got to invest in every child — regardless of zip code or race or parents' income. In a Biden Administration, we’ll provide high-quality, universal pre-K for all three- and four-year-olds to ensure every kid gets a fair shot. Read the full plan:  	[]	[]	pic.twitter.com/aKBwTe8bJO	JoeBiden
7	3.0	0.1658	work, stand, fight, tomorrow, proud, act, teacher, pay, future, world	1134181199918841856	8538	https://twitter.com/harrisonjaime/status/1133674358361206786	https://twitter.com/JoeBiden/status/1134181199918841856	2177	1559244840	South Carolina would be lucky to have  @harrisonjaime representing them in the Senate. He has the character, intelligence, and integrity needed to serve his community well. I hope you'll  #JoinJaime. ...	['JoinJaime']	['harrisonjaime']		JoeBiden
8	7.0	0.1426	make, vote, election, hope, make_sure, folk, senate, progress, visit, win	1133882123276967936	1634		https://twitter.com/JoeBiden/status/1133882123276967936	290	1559173500	Our motivated students make me believe America’s best days are still ahead. Thank you to Mayor  @Mike_Rawlings and  @SPARKDallas for a great afternoon.	[]	['Mike_Rawlings', 'SPARKDallas']	pic.twitter.com/vqKIVQu7I4	JoeBiden
9	3.0	0.2034	work, stand, fight, tomorrow, proud, act, teacher, pay, future, world	1133818793891913728	2287		https://twitter.com/JoeBiden/status/1133818793891913728	341	1559158440	We had a great first day in Texas! Thank you to  @rweingarten and  @AFTunion for the discussion on how we improve our education system. It's time we increase teacher pay and ensure that no child’s future is determined by their zip code, parents’ income, race, or disability.	[]	['rweingarten', 'AFTunion']	pic.twitter.com/qnghcHg2Y9	JoeBiden
10	0.0	0.1512	time, violence, end, change, head, student, barackobama, stop, step, ready	1133531926642470913	2056	http://JoeBiden.com/Education	https://twitter.com/JoeBiden/status/1133531926642470913	324	1559090040	There is no doubt in my mind that if we take these steps, no nation on earth will be able to match the United States of America. To read more about our plan, head to  .	[]	[]		JoeBiden
11	2.0	0.1349	romney, plan, ryan, call, medicare, child, put, cut, give, health	1133531921122779137	2298		https://twitter.com/JoeBiden/status/1133531921122779137	321	1559090040	Our children are our future, it’s time we start investing in them from birth.	[]	[]	pic.twitter.com/WkDxxamJlT	JoeBiden
12	1.0	0.162	woman, year, life, man, forward, honor, move, word, clear, incredible	1133531911668867073	697		https://twitter.com/JoeBiden/status/1133531911668867073	122	1559090040	It’s our responsibility to provide every middle and high school student a path to a successful career.	[]	[]	pic.twitter.com/SlVRJSuw68	JoeBiden
13	3.0	0.1722	work, stand, fight, tomorrow, proud, act, teacher, pay, future, world	1133531898247045120	417		https://twitter.com/JoeBiden/status/1133531898247045120	118	1559089980	In America, no child’s future should be determined by their zip code, parents’ income, race, or disability.	[]	[]	pic.twitter.com/Q43YWyq6K8	JoeBiden
14	1.0	0.1389	woman, year, life, man, forward, honor, move, word, clear, incredible	1133531887203475456	410		https://twitter.com/JoeBiden/status/1133531887203475456	102	1559089980	We must invest in our public schools so students can grow into healthy adults and educators can focus on teaching.	[]	[]	pic.twitter.com/f6xHzfTq8o	JoeBiden
15	0.0	0.1528	time, violence, end, change, head, student, barackobama, stop, step, ready	1133531875597799425	481		https://twitter.com/JoeBiden/status/1133531875597799425	129	1559089980	It’s time we give our educators the pay and dignity they deserve.	[]	[]	pic.twitter.com/Hzhr7jZF4t	JoeBiden
16	3.0	0.1889	work, stand, fight, tomorrow, proud, act, teacher, pay, future, world	1133531869214060546	8579		https://twitter.com/JoeBiden/status/1133531869214060546	1405	1559089980	Our plan will increase teacher pay and provide them with the support they deserve. We’ll invest in all children from birth, so that regardless of their zip code, parents’ income, race, or disability they are prepared to succeed in tomorrow’s economy.	[]	[]		JoeBiden
17	3.0	0.1719	work, stand, fight, tomorrow, proud, act, teacher, pay, future, world	1133488485619437568	6555	http://JoeBiden.com/Education	https://twitter.com/JoeBiden/status/1133488485619437568	1442	1559079660	I’ve seen firsthand how hard teachers work with little support and few resources. We’ve got to do better. That’s why today, surrounded by America’s teachers, we laid out our plan for educators, students, and our future:  .	[]	[]	pic.twitter.com/6UxCx8bvjb	JoeBiden
18	3.0	0.1501	work, stand, fight, tomorrow, proud, act, teacher, pay, future, world	1133432497872756737	3666		https://twitter.com/JoeBiden/status/1133432497872756737	799	1559066340	Teachers like Ronniece are not only educating our children — they’re building the future of our country.	[]	[]	pic.twitter.com/Jr1Qf84sfq	JoeBiden
19	1.0	0.1975	woman, year, life, man, forward, honor, move, word, clear, incredible	1133010215413080064	21567		https://twitter.com/JoeBiden/status/1133010215413080064	3729	1558965660	Every  #MemorialDay, Jill and I remember those who made the ultimate sacrifice in service of our nation. Our troops are the heart, soul, & spine of America—may we never fail to honor the memory of those who have fallen and ensure their spirit lives on in both our words and deeds.	['MemorialDay']	[]		JoeBiden
20	2.0	0.1418	romney, plan, ryan, call, medicare, child, put, cut, give, health	1132770888305303555	19423		https://twitter.com/JoeBiden/status/1132770888305303555	4297	1558908600	Everybody knows who Donald Trump is, we have to let them know who we are. We choose hope over fear. Truth over lies. And unity over division.	[]	[]	pic.twitter.com/X2eLN3xe7M	JoeBiden
