dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
0.0	0.2824	time, violence, end, change, head, student, barackobama, stop, step, ready	1053069875130916864	8553	https://twitter.com/BidenCancer/status/1052964619688534016	https://twitter.com/JoeBiden/status/1053069875130916864	1680	1539906360	Cancer patients own their data, not hospitals.  #CountMeIn empowers patients to contribute their data for research. To find cures. We are changing the culture of cancer research — sharing data, breaking down silos, and forming new collaborations. We can do this. ...	['CountMeIn']	[]		JoeBiden
0.0	0.2092	time, violence, end, change, head, student, barackobama, stop, step, ready	1017388656338915329	4175		https://twitter.com/JoeBiden/status/1017388656338915329	375	1531399320	After our video chat a few months ago, I got to welcome  @shaffer_cierra to DC this week for  @USMC Sunset Parade. She battled against cancer’s odds and her resilience reminds us all that hope against this disease is real.  #cancerFIERCE	['cancerFIERCE']	['shaffer_cierra', 'USMC']	pic.twitter.com/2s9LcfhdIc	JoeBiden
0.0	0.2085	time, violence, end, change, head, student, barackobama, stop, step, ready	962116614811463680	12012		https://twitter.com/JoeBiden/status/962116614811463680	2137	1518221400	I’m in Indianapolis with  @southcity22 and we have a message for thousands of fraternity brothers and sorority sisters here at  #AFLVCentral and all across the country:  #ItsOnUs to end sexual assault on college campuses.	['AFLVCentral', 'ItsOnUs']	['southcity22']	pic.twitter.com/U3acVBAVJ4	JoeBiden
0.0	0.2051	time, violence, end, change, head, student, barackobama, stop, step, ready	968937201416491008	13674	http://bit.ly/IOUNominations	https://twitter.com/JoeBiden/status/968937201416491008	2386	1519847580	It takes courage to speak out against sexual assault, or to step in to stop it from happening. If you know someone who has stepped up to the front lines of this fight, I want to hear about it. Nominate them today, because  #ItsOnUs to change the culture: 	['ItsOnUs']	[]		JoeBiden
0.0	0.1988	time, violence, end, change, head, student, barackobama, stop, step, ready	826828864009678850	8958	http://BidenFoundation.org	https://twitter.com/JoeBiden/status/826828864009678850	2513	1485966300	From fighting cancer to changing the culture on domestic violence — we’re just getting started. Join us:	[]	[]		JoeBiden
0.0	0.1973	time, violence, end, change, head, student, barackobama, stop, step, ready	961975243983245312	23626	https://theundefeated.com/features/pittsburgh-steelers-cornerback-william-gay-teams-up-with-joe-biden-to-end-domestic-violence/	https://twitter.com/JoeBiden/status/961975243983245312	4391	1518187740	William Gay is the real deal - on and off the field. He’s using his voice to get other men involved to end sexual assault and domestic violence. He understands what this fight is all about. I’m glad to have you on the  @BidenFoundation team  @Southcity22. ...	[]	['BidenFoundation', 'Southcity22']		JoeBiden
0.0	0.1907	time, violence, end, change, head, student, barackobama, stop, step, ready	997487645625372672	2549	https://youtu.be/GXY3NbQkczk	https://twitter.com/JoeBiden/status/997487645625372672	416	1526654520	Count me in,  @De11eDonne. Proud to take a stand with you and the incredible athletes of  @WNBA who are partnering with organizations like  @ItsOnUs to empower women and girls everywhere. Folks, join us to take a seat & take a stand:   #WNBATakesAStand  #itsonus	['WNBATakesAStand', 'itsonus']	['De11eDonne', 'WNBA', 'ItsOnUs']		JoeBiden
0.0	0.1813	time, violence, end, change, head, student, barackobama, stop, step, ready	262970483979456512	56	http://OFA.BO/7LhUss	https://twitter.com/JoeBiden/status/262970483979456512	185	1351531980	“We are our brother’s keeper. We are our sister’s keeper.” VP Biden talks about the importance of faith and values:	[]	[]		JoeBiden
0.0	0.1801	time, violence, end, change, head, student, barackobama, stop, step, ready	461220705955500032	121	http://www.notalone.gov	https://twitter.com/JoeBiden/status/461220705955500032	167	1398798540	The VP has been fighting to end violence against women for a long time. Here's the next step:   #1is2Many  #NotAlone	['1is2Many', 'NotAlone']	[]		JoeBiden
0.0	0.1793	time, violence, end, change, head, student, barackobama, stop, step, ready	775813079242305536	985	http://itsonus.org	https://twitter.com/JoeBiden/status/775813079242305536	422	1473803220	On VAWA's 22nd anniversary, join VP Biden and recommit to fighting to end domestic violence:  	[]	[]	pic.twitter.com/PKjhVgaIG3	JoeBiden
1.0	0.2741	woman, year, life, man, forward, honor, move, word, clear, incredible	1089240522319978496	48782		https://twitter.com/JoeBiden/status/1089240522319978496	8819	1548530100	An untested rape kit means a survivor without justice. I wrote the first rape kit backlog law because every survivor deserves closure, and because evidence shows testing kits can identify men who have committed multiple rapes - and might again. Test every kit. Every single one.	[]	[]		JoeBiden
1.0	0.2359	woman, year, life, man, forward, honor, move, word, clear, incredible	1128669112698380294	49457		https://twitter.com/JoeBiden/status/1128669112698380294	11379	1557930660	Republicans in AL, FL, GA, and OH are ushering in laws that clearly violate Roe v Wade and they should be declared unconstitutional. Roe v Wade is settled law and should not be overturned. This choice should remain between a woman and her doctor.	[]	[]		JoeBiden
1.0	0.2257	woman, year, life, man, forward, honor, move, word, clear, incredible	1023198589714132993	13658	https://twitter.com/nowthisnews/status/1022867458242301952	https://twitter.com/JoeBiden/status/1023198589714132993	2126	1532784480	Honored to join  @DrBiden and the remarkable men and women from  @supportthewalk  #WalkOfAmerica who remind us all of the debt of gratitude we owe those who have sacrificed so much to protect our freedom. ...	['WalkOfAmerica']	['DrBiden', 'supportthewalk']		JoeBiden
1.0	0.219	woman, year, life, man, forward, honor, move, word, clear, incredible	1001116077202558982	52370		https://twitter.com/JoeBiden/status/1001116077202558982	9494	1527519600	Our men & women in uniform are the heart, the soul, and the spine of this nation. Today we remember those among them who gave their lives for our freedom. As we honor their sacrifice, we must recommit to our sacred obligation to care for & support the families they left behind.	[]	[]		JoeBiden
1.0	0.2189	woman, year, life, man, forward, honor, move, word, clear, incredible	1085735287391584256	16220		https://twitter.com/JoeBiden/status/1085735287391584256	1962	1547694420	“Equality of rights under the law shall not be denied or abridged on account of sex.” Another step forward for equality and basic dignity in Delaware tonight, as the Equal Rights Amendment is enshrined in our state’s Constitution.	[]	[]		JoeBiden
1.0	0.211	woman, year, life, man, forward, honor, move, word, clear, incredible	1096434417948680192	29248		https://twitter.com/JoeBiden/status/1096434417948680192	5174	1550245260	When I wrote the Violence Against Women Act in 1994, I believed it would be a lifeline. But this Congress has turned it into a political football. It’s time to pass a strong reauthorization to the Violence Against Women Act. No more stalling. Lives are on the line.	[]	[]		JoeBiden
1.0	0.1985	woman, year, life, man, forward, honor, move, word, clear, incredible	222841132344819713	14		https://twitter.com/JoeBiden/status/222841132344819713	91	1341964440	As a presidential candidate, Romney’s father released 12 years of tax returns, saying, “One year could be a fluke, perhaps done for show.”	[]	[]		JoeBiden
1.0	0.1979	woman, year, life, man, forward, honor, move, word, clear, incredible	1130866163783806981	13261		https://twitter.com/JoeBiden/status/1130866163783806981	3536	1558454460	States across the nation are passing extreme laws that violate a woman’s constitutional right to choose. These bills are a blatant attempt to overturn Roe v Wade. It's wrong. It's pernicious. We must  #StopTheBans and ensure this choice remains between a woman and her doctor.	['StopTheBans']	[]	pic.twitter.com/J4FL9nQgol	JoeBiden
1.0	0.1975	woman, year, life, man, forward, honor, move, word, clear, incredible	1133010215413080064	21567		https://twitter.com/JoeBiden/status/1133010215413080064	3729	1558965660	Every  #MemorialDay, Jill and I remember those who made the ultimate sacrifice in service of our nation. Our troops are the heart, soul, & spine of America—may we never fail to honor the memory of those who have fallen and ensure their spirit lives on in both our words and deeds.	['MemorialDay']	[]		JoeBiden
1.0	0.1944	woman, year, life, man, forward, honor, move, word, clear, incredible	1134255673410064384	1947		https://twitter.com/JoeBiden/status/1134255673410064384	221	1559262600	Thad Cochran was a friend and a true patriot in every sense of the word. Jill and I are sending our condolences to Thad’s family, he will be sorely missed.	[]	[]		JoeBiden
2.0	0.2742	romney, plan, ryan, call, medicare, child, put, cut, give, health	258727563705344001	27		https://twitter.com/JoeBiden/status/258727563705344001	162	1350520380	On the Romney-Ryan budget: “Their budget slashes 19 million people off Medicaid; turns Medicare into a voucher system; decimates education.”	[]	[]		JoeBiden
2.0	0.235	romney, plan, ryan, call, medicare, child, put, cut, give, health	238423673583837185	15		https://twitter.com/JoeBiden/status/238423673583837185	125	1345679580	“There's nothing bold about cutting Medicaid, Medicare, education, and research and development.”—VP on the Romney-Ryan economic plan	[]	[]		JoeBiden
2.0	0.2337	romney, plan, ryan, call, medicare, child, put, cut, give, health	241612000713662464	21		https://twitter.com/JoeBiden/status/241612000713662464	121	1346439720	“There’s nothing bold about turning Medicare into a voucher system.”—VP Biden on the Romney-Ryan plan	[]	[]		JoeBiden
2.0	0.233	romney, plan, ryan, call, medicare, child, put, cut, give, health	250690046603190272	17		https://twitter.com/JoeBiden/status/250690046603190272	62	1348604100	“They turn Medicare into a voucher system, and they put insurance companies back in control of your health.”—VP Biden on Romney-Ryan	[]	[]		JoeBiden
2.0	0.2303	romney, plan, ryan, call, medicare, child, put, cut, give, health	1134521171721052164	3455	http://JoeBiden.com/Education	https://twitter.com/JoeBiden/status/1134521171721052164	772	1559325900	One in five children experience mental health challenges, but too many don’t get help. My plan doubles the number of mental health professionals in schools to ensure every student gets the support they need. Read the full plan here:  	[]	[]	pic.twitter.com/03B7c9Zza7	JoeBiden
2.0	0.2276	romney, plan, ryan, call, medicare, child, put, cut, give, health	246374100975628288	7		https://twitter.com/JoeBiden/status/246374100975628288	99	1347575100	“The Romney-Ryan budget calls for massive cuts in elementary and secondary education.”—VP Biden in Eau Claire, WI	[]	[]		JoeBiden
2.0	0.2203	romney, plan, ryan, call, medicare, child, put, cut, give, health	253261951654842368	23		https://twitter.com/JoeBiden/status/253261951654842368	185	1349217300	“They say they value children and the elderly, but their budget slashes 19 million people off of Medicaid.”—VP Biden on Romney-Ryan	[]	[]		JoeBiden
2.0	0.219	romney, plan, ryan, call, medicare, child, put, cut, give, health	1002301656032215040	26196		https://twitter.com/JoeBiden/status/1002301656032215040	5617	1527802260	Last year, Virginians showed up to elect leaders who believe health care is a right, not a privilege. As a result, hundreds of thousands of Virginians now have the peace of mind that comes with health insurance. Don't ever question whether your vote matters -- it does. Show up.	[]	[]		JoeBiden
2.0	0.2168	romney, plan, ryan, call, medicare, child, put, cut, give, health	250687565533966336	9		https://twitter.com/JoeBiden/status/250687565533966336	81	1348603500	On Romney-Ryan: “Their budget calls for massive cuts to education. They cut $4.9 billion in 1 year out of elementary & secondary education.”	[]	[]		JoeBiden
2.0	0.2105	romney, plan, ryan, call, medicare, child, put, cut, give, health	241610063352053760	38		https://twitter.com/JoeBiden/status/241610063352053760	178	1346439300	“They call their plan new, bold, and gutsy. There’s nothing gutsy about giving another trillion in tax cuts to millionaires.”—VP Biden	[]	[]		JoeBiden
3.0	0.2423	work, stand, fight, tomorrow, proud, act, teacher, pay, future, world	1123646451593170946	12313		https://twitter.com/JoeBiden/status/1123646451593170946	1805	1556733120	I’m the proud husband of a teacher and know first-hand the impact of their work. Teachers around the country and in South Carolina deserve to earn a living wage and have smaller class sizes so that America can continue to out-educate and lead the world.  #AllOutMay1	['AllOutMay1']	[]		JoeBiden
3.0	0.2081	work, stand, fight, tomorrow, proud, act, teacher, pay, future, world	1131648787418685440	3001	https://twitter.com/SEIU/status/1131561297525596160	https://twitter.com/JoeBiden/status/1131648787418685440	709	1558641060	I’m proud to stand with  @SEIU and workers across the country today in the  #FightFor15. We must restore the dignity of work and ensure everyone’s treated with respect. That starts with raising the minimum wage to $15, strengthening our unions, and creating safe work environments. ...	['FightFor15']	['SEIU']		JoeBiden
3.0	0.2048	work, stand, fight, tomorrow, proud, act, teacher, pay, future, world	1134211380377260037	1458	http://JoeBiden.com/Education	https://twitter.com/JoeBiden/status/1134211380377260037	316	1559252040	We’ve got to invest in every child — regardless of zip code or race or parents' income. In a Biden Administration, we’ll provide high-quality, universal pre-K for all three- and four-year-olds to ensure every kid gets a fair shot. Read the full plan:  	[]	[]	pic.twitter.com/aKBwTe8bJO	JoeBiden
3.0	0.2042	work, stand, fight, tomorrow, proud, act, teacher, pay, future, world	1096495300355645440	2488		https://twitter.com/JoeBiden/status/1096495300355645440	319	1550259780	Today I congratulated President  @IvanDuque on his successful visit to Washington. Maintaining strong bipartisan support for  #Colombia is vitally important to meeting key security and economic challenges in the hemisphere, including humanitarian aid for refugees from  #Venezuela.	['Colombia', 'Venezuela']	['IvanDuque']		JoeBiden
3.0	0.2037	work, stand, fight, tomorrow, proud, act, teacher, pay, future, world	1118986242501283849	8776	https://www.aft.org/freedomtoteach	https://twitter.com/JoeBiden/status/1118986242501283849	1434	1555622040	My wife Jill always reminds me that any country that out-educates us will out-compete us. Our teachers must have the resources they need & the wages they deserve so that America will continue to lead the world. Great speech today on this from  @rweingarten.	[]	['rweingarten']		JoeBiden
