index	dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
0	13.0	0.1275	california, state, family, community, victim, friend, stay, wildfire, affect, fire	1134607968195006466	6539	https://twitter.com/MSNBC/status/1134592821778890752	https://twitter.com/KamalaHarris/status/1134607968195006466	1554	1559346540	Heartbroken for the victims and their families of the Virginia Beach shooting and grateful for the first responders on the scene. This senseless act of violence should not be normal. Too many communities have been shattered by gun violence — we cannot continue to stand idly by. ...	[]	[]		KamalaHarris
1	17.0	0.0576	country, ca, back, matter, issue, home, talk, love, work, hope	1134584165515563011	6629		https://twitter.com/KamalaHarris/status/1134584165515563011	1153	1559340900	You don't have to be an adult or have a fancy title to be a leader.	[]	[]	pic.twitter.com/nh7ESSTDJb	KamalaHarris
2	23.0	0.0972	support, campaign, teamkamala, proud, meet, hold, join, ca, honor, weekend	1134553578796920834	1897		https://twitter.com/KamalaHarris/status/1134553578796920834	205	1559333580	Could not have been happier to stop by Jones Coffee Roasters, a small family-owned coffee shop in Pasadena, CA. Of course I had to pick up a bag for my family!	[]	[]	pic.twitter.com/Z1twAHnIRj	KamalaHarris
3	4.0	0.1195	bill, american, pay, plan, family, give, cost, tax, money, corporation	1134529993218940928	8900		https://twitter.com/KamalaHarris/status/1134529993218940928	3058	1559328000	Trump’s plan to slap massive tariffs on Mexico is precisely what I warned the American people about on  @MSNBC. It will mean Americans foot the bill. This is the Trump Trade Tax.	[]	['MSNBC']	pic.twitter.com/7ZatsYF4th	KamalaHarris
4	9.0	0.0761	health, care, access, affordable, million, gop, medicare, cut, repeal, condition	1134477897757073408	2304		https://twitter.com/KamalaHarris/status/1134477897757073408	651	1559315580	The fight for health care is personal for me.	[]	[]	pic.twitter.com/6tP4KXoo3D	KamalaHarris
5	15.0	0.0692	justice, speak, country, truth, moment, equal, place, survivor, hate, opportunity	1134287382084247552	14225		https://twitter.com/KamalaHarris/status/1134287382084247552	4059	1559270160	Reminder: The Republican-controlled Senate still hasn’t taken up the Violence Against Women Act. It’s shameful that survivors of domestic and sexual assault aren’t getting the resources they need.	[]	[]		KamalaHarris
6	22.0	0.0929	woman, black, elect, man, color, office, high, earn, reproductive, die	1134271024198049792	7155	https://www.elitedaily.com/p/kamala-harris-reproductive-rights-proposal-includes-a-move-to-stop-abortion-bans-17927023	https://twitter.com/KamalaHarris/status/1134271024198049792	1584	1559266260	Women have agency. Women have value. Women have the constitutional authority to make decisions about their own bodies. As president, I will fight for that right. ...	[]	[]		KamalaHarris
7	15.0	0.1267	justice, speak, country, truth, moment, equal, place, survivor, hate, opportunity	1134241329888841729	20591		https://twitter.com/KamalaHarris/status/1134241329888841729	4083	1559259180	We have seen proof that anti-Semitism, sexism, homophobia, transphobia, and Islamophobia are real. We have a president who has been fanning the flames of hate. It’s time we had a president who lifted people up.	[]	[]		KamalaHarris
8	3.0	0.0648	show, voice, power, young, future, lead, leader, powerful, inspire, courage	1134222974935060481	826	https://www.bustle.com/p/the-abortion-clinics-near-missouri-if-planned-parenthood-closes-arent-always-easy-to-reach-17927812	https://twitter.com/KamalaHarris/status/1134222974935060481	319	1559254800	Here’s what the potential closing of Missouri’s only clinic that provides safe abortions would mean for low-income families and communities of color. ...	[]	[]		KamalaHarris
9	22.0	0.1014	woman, black, elect, man, color, office, high, earn, reproductive, die	1134211762839072773	5939	https://twitter.com/AP/status/1134209115142721537	https://twitter.com/KamalaHarris/status/1134211762839072773	1708	1559252100	Dangerous attacks on women’s constitutional right to an abortion are outrageous no matter what party you’re in. My message to the Gov. of Louisiana: women have agency, women have value, women have authority to make decisions about their own lives—and we will not go backward. ...	[]	[]		KamalaHarris
10	5.0	0.0842	make, nation, history, decision, turn, politic, difference, back, society, future	1134205091089715200	1468	https://www.nytimes.com/2019/05/29/arts/transgender-monument-stonewall.html	https://twitter.com/KamalaHarris/status/1134205091089715200	372	1559250540	Nearly 50 years after Stonewall, transgender and gay rights pioneers Marsha P. Johnson and Sylvia Rivera will be immortalized for the critical part they played in moving LGBTQ+ rights forward. ...	[]	[]		KamalaHarris
11	0.0	0.0785	fight, stand, continue, time, progress, equality, generation, hand, month, freedom	1134190498330161152	637	https://secure.actblue.com/donate/kdh-social-1905?refcode=tw190530	https://twitter.com/KamalaHarris/status/1134190498330161152	184	1559247060	This is no ordinary moment in our history. And this will not be an ordinary election. But together, we will fight back — and we will win. Chip in to help us get there. ...	[]	[]		KamalaHarris
