dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
0.0	0.1918	prop, justice, equality, marriage, ca, deny, sex, student, scotus, gay	349946522810593281	89		https://twitter.com/KamalaHarris/status/349946522810593281	245	1372268700	I ask that the Ninth Circuit lift its stay immediately. Gay and lesbian couples in CA have waited long enough.  #Prop8  #MarriageEquality	['Prop8', 'MarriageEquality']	[]		KamalaHarris
0.0	0.1808	prop, justice, equality, marriage, ca, deny, sex, student, scotus, gay	367759181941440513	25		https://twitter.com/KamalaHarris/status/367759181941440513	59	1376515560	The CA Supreme court has denied the  #Prop8 proponents’ request to halt same-sex marriages!	['Prop8']	[]		KamalaHarris
0.0	0.1759	prop, justice, equality, marriage, ca, deny, sex, student, scotus, gay	356879510450339841	46		https://twitter.com/KamalaHarris/status/356879510450339841	104	1373921640	The CA Supreme Court has denied the Prop 8 proponents’ request to halt gay marriages in CA.	[]	[]		KamalaHarris
0.0	0.1733	prop, justice, equality, marriage, ca, deny, sex, student, scotus, gay	166982717987225601	4	http://fb.me/CFvZ1oK8	https://twitter.com/KamalaHarris/status/166982717987225601	21	1328646720	Today's ruling is a victory for fairness, a victory for equality, and a victory for justice. Proposition 8 denied... 	[]	[]		KamalaHarris
0.0	0.1649	prop, justice, equality, marriage, ca, deny, sex, student, scotus, gay	315859103853457409	7		https://twitter.com/KamalaHarris/status/315859103853457409	2	1364141640	"MT  @jenbuesinger: CA AG  @KamalaHarris on  #Prop8  #Scotus We are talking abt fundamental notions of freedom, justice, and liberty.""  @CNNsotu"""	['Prop8', 'Scotus']	['jenbuesinger', 'CNNsotu']		KamalaHarris
0.0	0.1582	prop, justice, equality, marriage, ca, deny, sex, student, scotus, gay	358361676438974464	20		https://twitter.com/KamalaHarris/status/358361676438974464	41	1374275040	Today’s filing offers no new arguments that could deny same-sex couples their constitutionally protected civil rights.  #Prop8	['Prop8']	[]		KamalaHarris
0.0	0.1544	prop, justice, equality, marriage, ca, deny, sex, student, scotus, gay	519248938885337088	25	http://bit.ly/1nb2jiw	https://twitter.com/KamalaHarris/status/519248938885337088	39	1412633520	Today’s  #SCOTUS decision is a win for equality, but many LGBT couples are still being denied their full civil rights.	['SCOTUS']	[]		KamalaHarris
0.0	0.1523	prop, justice, equality, marriage, ca, deny, sex, student, scotus, gay	359819022193274880	66		https://twitter.com/KamalaHarris/status/359819022193274880	187	1374622500	The CA Supreme Court has denied the San Diego County Clerk’s request to halt same-sex marriages.  #Prop8	['Prop8']	[]		KamalaHarris
0.0	0.1481	prop, justice, equality, marriage, ca, deny, sex, student, scotus, gay	432595599372726272	20	http://nbcnews.to/1eCOl3u	https://twitter.com/KamalaHarris/status/432595599372726272	24	1391973780	I applaud AG Holder's decision RT  @NBCNews: BREAKING Justice Department to extend key federal benefits to gay couples	[]	['NBCNews']		KamalaHarris
0.0	0.1475	prop, justice, equality, marriage, ca, deny, sex, student, scotus, gay	277159576665726977	7		https://twitter.com/KamalaHarris/status/277159576665726977	37	1354914960	For justice to prevail,  #Prop8 must be invalidated so that gay & lesbian families are finally treated with equality & dignity.	['Prop8']	[]		KamalaHarris
