dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
0.0	0.3318	work, pay, worker, wage, live, time, day, low, raise, poverty	1037345762336808962	5153	https://www.huffingtonpost.com/entry/bernie-sanders-amazon_us_5b8eecade4b0511db3dcfd55	https://twitter.com/SenSanders/status/1037345762336808962	1530	1536157440	It's time to get Jeff Bezos, the Waltons and other billionaires who won't pay a living wage off of welfare. Today I'm introducing legislation to give them a choice: pay workers a living wage, or pay for the public assistance your low-wage workers rely on. ...	[]	[]		SenSanders
0.0	0.3227	work, pay, worker, wage, live, time, day, low, raise, poverty	1037010737661718528	18357	https://twitter.com/CNBCnow/status/1037002276580335616	https://twitter.com/SenSanders/status/1037010737661718528	6881	1536077580	Amazon is worth $1 TRILLION. Jeff Bezos is worth $155 BILLION. Thousands of Amazon workers have to rely on food stamps, Medicaid and public housing to survive. That is what a rigged economy looks like. Tomorrow we will introduce a bill to end subsidies for low-wage employers. ...	[]	[]		SenSanders
0.0	0.2974	work, pay, worker, wage, live, time, day, low, raise, poverty	1035222327699619841	41413		https://twitter.com/SenSanders/status/1035222327699619841	12082	1535651160	The median Amazon employee makes $13.67 an hour. Many of those employees rely on food stamps, Medicaid and public housing to survive. You know who pays for that? You do. You know what Jeff Bezos makes every hour? $10,833,33 It's time for Amazon to get off corporate welfare.	[]	[]		SenSanders
0.0	0.2968	work, pay, worker, wage, live, time, day, low, raise, poverty	969318383345917952	4278	https://www.thenation.com/article/why-today-is-a-sad-milestone-for-minimum-wage-workers/	https://twitter.com/SenSanders/status/969318383345917952	1578	1519938480	Workers earning $7.25 an hour must work an extra 41 days just to make the same amount they did in 2009, the last time Congress raised the federal minimum wage. It is way past time we take action and pay workers a living wage of $15 an hour. ...	[]	[]		SenSanders
0.0	0.2938	work, pay, worker, wage, live, time, day, low, raise, poverty	1110180143513907200	10572	http://inthesetimes.com/working/entry/21800/geo-graduate-workers-university-of-illinois-strike-wages-waivers-chicago	https://twitter.com/SenSanders/status/1110180143513907200	2295	1553522520	I’m proud to stand in solidarity with 1,500 grad workers at the University of Illinois at Chicago (UIC) who are on strike for a living wage. I say to UIC: Sit down at the bargaining table. Negotiate in good faith. Pay your workers a living wage.  ...	[]	[]		SenSanders
0.0	0.2899	work, pay, worker, wage, live, time, day, low, raise, poverty	1039157314987741184	10618		https://twitter.com/SenSanders/status/1039157314987741184	3536	1536589380	Last week I introduced a bill to give billionaires like Bezos and the Waltons a choice: pay workers a living wage, or pay for the public assistance your low-wage workers rely on.	[]	[]	pic.twitter.com/U4gzAfftSE	SenSanders
0.0	0.2864	work, pay, worker, wage, live, time, day, low, raise, poverty	1063125398303752192	31408		https://twitter.com/SenSanders/status/1063125398303752192	7122	1542303780	The bill I'm introducing today would prohibit large corporations from buying back stock unless they: -Pay all employees at least $15/hr -Allow employees to earn up to 7 days of paid sick leave -Ensure CEO compensation is not more than 150x median employee pay  #StopWALMART	['StopWALMART']	[]		SenSanders
0.0	0.2815	work, pay, worker, wage, live, time, day, low, raise, poverty	1034917754594381838	8370	https://twitter.com/engadget/status/1034865767752392704	https://twitter.com/SenSanders/status/1034917754594381838	2473	1535578560	.  @amazon, if our claims about wages and working conditions at Amazon are inaccurate then prove it. Make public the number of people you hire through temporary staffing agencies like Integrity Staffing Solutions and make public the hourly rate and benefits those workers earn. ...	[]	['amazon']		SenSanders
0.0	0.2755	work, pay, worker, wage, live, time, day, low, raise, poverty	1131207688069799936	5652	https://www.forbes.com/sites/tedreed/2019/05/21/delta-airlines-ceo-says-bernie-sanders-got-it-wrong-on-delta-compensation/#2c9c639e59c7	https://twitter.com/SenSanders/status/1131207688069799936	1263	1558535880	Yes, facts matter. Delta workers don't make as little as $9 an hour. They make as little as $8.25 an hour. It's time for Delta's CEO to stop misleading, stop discouraging workers from joining a union and pay all of them a living wage with good benefits. ...	[]	[]		SenSanders
0.0	0.2743	work, pay, worker, wage, live, time, day, low, raise, poverty	986361905177595904	17167		https://twitter.com/SenSanders/status/986361905177595904	6970	1524001920	The Walton family of Walmart is worth over $160 billion, but low-wage Walmart workers are struggling to get by. Do you think the Waltons have enough money to pay their workers a living wage?	[]	[]	pic.twitter.com/6qVaU4pc2C	SenSanders
