dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
0.0	0.2739	read, week, review, top, ow, vt, oil, nokxl, president, bottom	82823322714378240	3	http://ow.ly/5lQIc	https://twitter.com/SenSanders/status/82823322714378240	21	1308581580	"Must Read: AP study: U.S. nuclear regulators weaken safety rules"" - Jeff Donn:   #nuclear  #safety  #energy  @jadonn7"""	['nuclear', 'safety', 'energy']	['jadonn7']		SenSanders
0.0	0.2646	read, week, review, top, ow, vt, oil, nokxl, president, bottom	129250025380392960	2	http://sanders.senate.gov/newsroom/news/?id=6befa391-cad3-4dbb-af51-457aa3b3766a	https://twitter.com/SenSanders/status/129250025380392960	40	1319650560	Lawmakers Seek Probe of Pipeline Project: Ask President Obama to Hold Off on Decision -  ...  #noKXL  #Keystone	['noKXL', 'Keystone']	[]		SenSanders
0.0	0.2548	read, week, review, top, ow, vt, oil, nokxl, president, bottom	357175389333893120	12		https://twitter.com/SenSanders/status/357175389333893120	73	1373992200	The  #Senate had a majority vote to pass the Paycheck Fairness Act. It didn't pass because it didn't get 60 votes.  #EndGridlock	['Senate', 'EndGridlock']	[]		SenSanders
0.0	0.2524	read, week, review, top, ow, vt, oil, nokxl, president, bottom	357175154910048256	16		https://twitter.com/SenSanders/status/357175154910048256	65	1373992140	The  #Senate had a majority vote to pass the Bring Jobs Home Act. It didn't pass because it didn't get 60 votes.  #EndGridlock	['Senate', 'EndGridlock']	[]		SenSanders
0.0	0.2524	read, week, review, top, ow, vt, oil, nokxl, president, bottom	160498130201219072	1	http://ow.ly/8B3ei	https://twitter.com/SenSanders/status/160498130201219072	28	1327100700	The Week in Review: Citizens United; No Tar Sands Pipeline, Online Piracy   #CitizensUnited  #noKXL  #KeystoneXL  #PIPA	['CitizensUnited', 'noKXL', 'KeystoneXL', 'PIPA']	[]		SenSanders
0.0	0.2505	read, week, review, top, ow, vt, oil, nokxl, president, bottom	123794929683140608	8	http://sanders.senate.gov/newsroom/news/?id=b440353a-6288-452e-a119-a364674b8f60	https://twitter.com/SenSanders/status/123794929683140608	31	1318349940	Must Read: How Lobbyists Are Undermining Dodd-Frank: A Case Study -  @DariusTahir  ...  #CFTC  #DoddFrank	['CFTC', 'DoddFrank']	['DariusTahir']		SenSanders
0.0	0.2505	read, week, review, top, ow, vt, oil, nokxl, president, bottom	125976970520576000	4	http://ow.ly/6ZFno	https://twitter.com/SenSanders/status/125976970520576000	53	1318870200	Senators Raise ‘Serious Concerns’ About State Department Study on Tar Sands Oil Pipeline:   #noKXL  #KeystoneXL	['noKXL', 'KeystoneXL']	[]		SenSanders
0.0	0.2487	read, week, review, top, ow, vt, oil, nokxl, president, bottom	124939410738384896	10	http://sanders.senate.gov/newsroom/news/?id=2a556acc-ef12-4d28-a047-0b2410319011	https://twitter.com/SenSanders/status/124939410738384896	45	1318622820	Senators Raise ‘Serious Concerns’ About State Department Study on Tar Sands Oil Pipeline:  ...  #keystonexl  #TarSands	['keystonexl', 'TarSands']	[]		SenSanders
0.0	0.2446	read, week, review, top, ow, vt, oil, nokxl, president, bottom	336894316255522816	9	http://www.sanders.senate.gov/newsroom/news/?id=da84b7b5-19d2-4948-bd3f-03bec3ef889f	https://twitter.com/SenSanders/status/336894316255522816	37	1369156800	NEWS: Sanders Calls for Gas Price Probe, Emergency Action by Oil Market Regulators:  ...  #Senate	['Senate']	[]		SenSanders
0.0	0.2442	read, week, review, top, ow, vt, oil, nokxl, president, bottom	128202806795579392	2		https://twitter.com/SenSanders/status/128202806795579392	42	1319400900	How do we change the system to work for all Americans, not just the top 1%? 4) Stop  #WallStreet oil speculators from increasing oil prices.	['WallStreet']	[]		SenSanders
1.0	0.2792	budget, socialsecurity, deficit, fiscalcliff, social_security, medicare, join, nation, debt, plan	276018338767962112	20		https://twitter.com/SenSanders/status/276018338767962112	161	1354642860	The CEOs behind the  #FixTheDebt campaign are pushing to reduce the  #deficit by cutting  #SocialSecurity,  #Medicare &  #Medicaid.  #budget  #my2k	['FixTheDebt', 'deficit', 'SocialSecurity', 'Medicare', 'Medicaid', 'budget', 'my2k']	[]		SenSanders
1.0	0.2598	budget, socialsecurity, deficit, fiscalcliff, social_security, medicare, join, nation, debt, plan	273854659326787585	15	http://www.sanders.senate.gov/newsroom/news/?id=520443b7-b0ef-458c-9d34-6a41aa8b36cf	https://twitter.com/SenSanders/status/273854659326787585	77	1354126980	NEWS: Sanders Says Simpson-Bowles Must Not Shape Deficit Debate:  ...  #Budget  #Deficit  #SimpsonBowles  #FiscalCliff  #My2k	['Budget', 'Deficit', 'SimpsonBowles', 'FiscalCliff', 'My2k']	[]		SenSanders
1.0	0.2592	budget, socialsecurity, deficit, fiscalcliff, social_security, medicare, join, nation, debt, plan	277496560206622720	9	http://ow.ly/fVk07	https://twitter.com/SenSanders/status/277496560206622720	41	1354995300	Sanders Says Simpson-Bowles Must Not Shape Deficit Debate:   #Budget  #ThisWeek  #FaceTheNation  #MTP	['Budget', 'ThisWeek', 'FaceTheNation', 'MTP']	[]		SenSanders
1.0	0.2585	budget, socialsecurity, deficit, fiscalcliff, social_security, medicare, join, nation, debt, plan	277081001824493568	4		https://twitter.com/SenSanders/status/277081001824493568	46	1354896180	"It is distressing that some believe the  #SimpsonBowles plan is a balanced approach to deficit reduction.  #budget  #FixTheDebt   #fiscalcliff"""""	['SimpsonBowles', 'budget', 'FixTheDebt', 'fiscalcliff']	[]		SenSanders
1.0	0.2567	budget, socialsecurity, deficit, fiscalcliff, social_security, medicare, join, nation, debt, plan	269169744953884672	14	http://www.sanders.senate.gov/newsroom/news/?id=a6bed2e0-6e82-438f-ab6c-aa769a58270f	https://twitter.com/SenSanders/status/269169744953884672	56	1353010020	NEWS: Save Social Security, Medicare and Medicaid:  ...  #NoCuts  #SocialSecurity  #Medicare  #Medicaid	['NoCuts', 'SocialSecurity', 'Medicare', 'Medicaid']	[]		SenSanders
1.0	0.2462	budget, socialsecurity, deficit, fiscalcliff, social_security, medicare, join, nation, debt, plan	274975548416077824	36	http://www.sanders.senate.gov/newsroom/news/?id=520443b7-b0ef-458c-9d34-6a41aa8b36cf	https://twitter.com/SenSanders/status/274975548416077824	83	1354394220	Sanders Says Simpson-Bowles Must Not Shape Deficit Debate:  ...  #Budget  #FiscalCliff	['Budget', 'FiscalCliff']	[]	pic.twitter.com/RFgMRlDV	SenSanders
1.0	0.2438	budget, socialsecurity, deficit, fiscalcliff, social_security, medicare, join, nation, debt, plan	84644576291323904	1	http://ow.ly/5qdDS	https://twitter.com/SenSanders/status/84644576291323904	28	1309015800	Join the Facebook discussion about the budget negotiations and Bernie's speech on Monday at:   #SharedSacrifice	['SharedSacrifice']	[]		SenSanders
1.0	0.2419	budget, socialsecurity, deficit, fiscalcliff, social_security, medicare, join, nation, debt, plan	271285641684348928	15	http://youtu.be/e1STGmAxMds	https://twitter.com/SenSanders/status/271285641684348928	67	1353514500	We should not balance the budget on the backs of the sick, the poor and the elderly:   #budget  #FiscalCliff	['budget', 'FiscalCliff']	[]		SenSanders
