index	dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
0	2.0	0.169	big, state, win, happen, give, congratulation, republican, maga, leave, governor	1134559092545134593	129105	https://www.donaldjtrump.com/rallies/jun-orla-flor-2019	https://twitter.com/realDonaldTrump/status/1134559092545134593	35485	1559334900	I will be announcing my Second Term Presidential Run with First Lady Melania, Vice President Mike Pence, and Second Lady Karen Pence on June 18th in Orlando, Florida, at the 20,000 seat Amway Center. Join us for this Historic Rally! Tickets: ...	[]	[]		realDonaldTrump
1	0.0	0.1261	fake_news, bad, medium, time, story, call, report, show, news, white_house	1134550682080620544	76162		https://twitter.com/realDonaldTrump/status/1134550682080620544	20639	1559332920	GREAT NEWS!  #MAGA	['MAGA']	[]	pic.twitter.com/91Yk8B11bP	realDonaldTrump
2	8.0	0.1358	american, day, honor, world, family, national, wonderful, whitehouse, meet, life	1134538168324300800	106322		https://twitter.com/realDonaldTrump/status/1134538168324300800	20527	1559329920	....on the basis of their sexual orientation. My Administration has launched a global campaign to decriminalize homosexuality and invite all nations to join us in this effort!	[]	[]		realDonaldTrump
3	8.0	0.1571	american, day, honor, world, family, national, wonderful, whitehouse, meet, life	1134538166919204865	137755		https://twitter.com/realDonaldTrump/status/1134538166919204865	29116	1559329920	As we celebrate LGBT Pride Month and recognize the outstanding contributions LGBT people have made to our great Nation, let us also stand in solidarity with the many LGBT people who live in dozens of countries worldwide that punish, imprison, or even execute individuals....	[]	[]		realDonaldTrump
4	1.0	0.1599	president, work, america, hard, speak, head, thing, incredible, interview, proud	1134522786804850688	65844		https://twitter.com/realDonaldTrump/status/1134522786804850688	18278	1559326260	.  @SeanHannity is having a DEEP STATE SHOW tonight on Fox News at 9:00 PM (E), exposing the tremendous abuse of power that has been uncovered. Tremendous guests, a must see – Enjoy!	[]	['SeanHannity']		realDonaldTrump
5	8.0	0.1866	american, day, honor, world, family, national, wonderful, whitehouse, meet, life	1134522066508685314	70970		https://twitter.com/realDonaldTrump/status/1134522066508685314	15547	1559326080	Saddened to hear about the loss of John Pinto, a Navajo Code Talker in World War II, over the Memorial Day Weekend. The Code Talkers are true American HEROES and John never stopped serving his fellow citizens as a longtime New Mexico State Senator. John, Rest In Peace!	[]	[]		realDonaldTrump
6	5.0	0.1541	democrat, country, border, wall, security, dem, stop, senate, end, build	1134469934816346113	108978		https://twitter.com/realDonaldTrump/status/1134469934816346113	29072	1559313660	90% of the Drugs coming into the United States come through Mexico & our Southern Border. 80,000 people died last year, 1,000,000 people ruined. This has gone on for many years & nothing has been done about it. We have a 100 Billion Dollar Trade Deficit with Mexico. It’s time!	[]	[]		realDonaldTrump
7	6.0	0.2009	make, back, deal, china, country, pay, trade, north_korea, talk, meeting	1134466523114999809	92796		https://twitter.com/realDonaldTrump/status/1134466523114999809	23073	1559312820	In order not to pay Tariffs, if they start rising, companies will leave Mexico, which has taken 30% of our Auto Industry, and come back home to the USA. Mexico must take back their country from the drug lords and cartels. The Tariff is about stopping drugs as well as illegals!	[]	[]		realDonaldTrump
8	5.0	0.2054	democrat, country, border, wall, security, dem, stop, senate, end, build	1134452086857523205	91609		https://twitter.com/realDonaldTrump/status/1134452086857523205	22086	1559309400	Mexico has taken advantage of the United States for decades. Because of the Dems, our Immigration Laws are BAD. Mexico makes a FORTUNE from the U.S., have for decades, they can easily fix this problem. Time for them to finally do what must be done!	[]	[]		realDonaldTrump
9	5.0	0.2007	democrat, country, border, wall, security, dem, stop, senate, end, build	1134448050464800769	80843		https://twitter.com/realDonaldTrump/status/1134448050464800769	19368	1559308440	Hard to believe that with the Crisis on the Border, the Dems won’t do the quick and easy fix. Would solve the problem but they want Open Borders, which equals crime!	[]	[]		realDonaldTrump
