dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
0.0	0.1863	debate, show, talk, nice, watch, megynkelly, true, news, fox, record	688927113903247360	3282		https://twitter.com/realDonaldTrump/status/688927113903247360	826	1453087980	"  @pbralick:  @BenKissel great on  @greggutfeld  @GregGutfeldShow  @JoNosuchinsky too"" Thank you Ben for your nice comments on debate!"""	[]	['pbralick', 'BenKissel', 'greggutfeld', 'GregGutfeldShow', 'JoNosuchinsky']		realDonaldTrump
0.0	0.1862	debate, show, talk, nice, watch, megynkelly, true, news, fox, record	654093757739089920	3436		https://twitter.com/realDonaldTrump/status/654093757739089920	1201	1444783020	"  @HL3tweets:  @TDsVoice  @CNN  @CNNPolitics I'm watching now and will watch the entire debate while reading Trump's Tweets. Grab the popcorn"""""	[]	['HL3tweets', 'TDsVoice', 'CNN', 'CNNPolitics']		realDonaldTrump
0.0	0.1826	debate, show, talk, nice, watch, megynkelly, true, news, fox, record	691847162615992320	2595		https://twitter.com/realDonaldTrump/status/691847162615992320	887	1453784160	"  @Crusade4Honesty:  @BornToBeGOP  @megynkelly Megan can not contain her bias, it's in every show, Fox owners Saudi Prince agnstT"""""	[]	['Crusade4Honesty', 'BornToBeGOP', 'megynkelly']		realDonaldTrump
0.0	0.1815	debate, show, talk, nice, watch, megynkelly, true, news, fox, record	615299494339592196	304		https://twitter.com/realDonaldTrump/status/615299494339592196	155	1435533780	.  @NYDailyNews, the dying tabloid owned by dopey clown Mort Zuckerman, puts me on the cover daily because I sell. My honor, but it is dead!	[]	['NYDailyNews']		realDonaldTrump
0.0	0.1811	debate, show, talk, nice, watch, megynkelly, true, news, fox, record	732724066122104832	4246		https://twitter.com/realDonaldTrump/status/732724066122104832	940	1463529960	"  @TrumpTrainRider: .  @realDonaldTrump Watching you on Fox with  @megynkelly now. Can't wait to hear what you two talked about."""""	[]	['TrumpTrainRider', 'megynkelly']		realDonaldTrump
0.0	0.1797	debate, show, talk, nice, watch, megynkelly, true, news, fox, record	671316960857219072	1238		https://twitter.com/realDonaldTrump/status/671316960857219072	555	1448889360	"  @charlottepturn:  @Morning_Joe THERE WERE NO VIDEO CELL PHONES!IS AreUall looking4bonus?Near StJoes Hosp Paterson NJ Arab area outside celeb"""	[]	['charlottepturn', 'Morning_Joe']		realDonaldTrump
0.0	0.1787	debate, show, talk, nice, watch, megynkelly, true, news, fox, record	709894230710337536	15191		https://twitter.com/realDonaldTrump/status/709894230710337536	4640	1458086940	Watching other networks and local news. Really good night! Crazy  @megynkelly is unwatchable.	[]	['megynkelly']		realDonaldTrump
0.0	0.1761	debate, show, talk, nice, watch, megynkelly, true, news, fox, record	732719796077383680	5843		https://twitter.com/realDonaldTrump/status/732719796077383680	1432	1463528940	I will be live tweeting  @megynkelly Show in 10 minutes. Should be interesting. Will be on Fox Network! ENJOY!	[]	['megynkelly']		realDonaldTrump
0.0	0.1758	debate, show, talk, nice, watch, megynkelly, true, news, fox, record	652918158672678912	2191		https://twitter.com/realDonaldTrump/status/652918158672678912	1008	1444502760	.  @ChuckTodd just informed us that my interview last week on  @MeetthePress was their highest rated show in 4 years. Congrats!	[]	['ChuckTodd', 'MeetthePress']		realDonaldTrump
0.0	0.1729	debate, show, talk, nice, watch, megynkelly, true, news, fox, record	673655438060204032	2399		https://twitter.com/realDonaldTrump/status/673655438060204032	849	1449446940	Gee,  @meetthepress with  @chucktodd was getting terrible ratings then, with me, he set records - I saved his job, but Chuck still not nice!	[]	['meetthepress', 'chucktodd']		realDonaldTrump
1.0	0.2075	love, give, american, stop, truth, hope, attack, strong, stand, world	619734914750025729	2678		https://twitter.com/realDonaldTrump/status/619734914750025729	1043	1436591280	I love that thousands of people are boycotting  @Macys and cutting up credit cards. No guts no glory. This really backfired - love it!	[]	['Macys']		realDonaldTrump
