dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
0.0	0.3251	year, country, china, trade, pay, deal, tariff, money, lose, dollar	982680387116781568	83886		https://twitter.com/realDonaldTrump/status/982680387116781568	19815	1523124180	The United States hasn’t had a Trade Surplus with China in 40 years. They must end unfair trade, take down barriers and charge only Reciprocal Tariffs. The U.S. is losing $500 Billion a year, and has been losing Billions of Dollars for decades. Cannot continue!	[]	[]		realDonaldTrump
0.0	0.3131	year, country, china, trade, pay, deal, tariff, money, lose, dollar	1017288317342224384	72328		https://twitter.com/realDonaldTrump/status/1017288317342224384	15889	1531375380	Presidents have been trying unsuccessfully for years to get Germany and other rich NATO Nations to pay more toward their protection from Russia. They pay only a fraction of their cost. The U.S. pays tens of Billions of Dollars too much to subsidize Europe, and loses Big on Trade!	[]	[]		realDonaldTrump
0.0	0.2983	year, country, china, trade, pay, deal, tariff, money, lose, dollar	1002971013313908738	119917		https://twitter.com/realDonaldTrump/status/1002971013313908738	28562	1527961860	The United States must, at long last, be treated fairly on Trade. If we charge a country ZERO to sell their goods, and they charge us 25, 50 or even 100 percent to sell ours, it is UNFAIR and can no longer be tolerated. That is not Free or Fair Trade, it is Stupid Trade!	[]	[]		realDonaldTrump
0.0	0.2919	year, country, china, trade, pay, deal, tariff, money, lose, dollar	983284198046826496	164737		https://twitter.com/realDonaldTrump/status/983284198046826496	42299	1523268180	When a car is sent to the United States from China, there is a Tariff to be paid of 2 1/2%. When a car is sent to China from the United States, there is a Tariff to be paid of 25%. Does that sound like free or fair trade. No, it sounds like STUPID TRADE - going on for years!	[]	[]		realDonaldTrump
0.0	0.2891	year, country, china, trade, pay, deal, tariff, money, lose, dollar	1127681372896800768	90503		https://twitter.com/realDonaldTrump/status/1127681372896800768	19424	1557695160	We are right where we want to be with China. Remember, they broke the deal with us & tried to renegotiate. We will be taking in Tens of Billions of Dollars in Tariffs from China. Buyers of product can make it themselves in the USA (ideal), or buy it from non-Tariffed countries...	[]	[]		realDonaldTrump
0.0	0.2838	year, country, china, trade, pay, deal, tariff, money, lose, dollar	972585290857672704	92313		https://twitter.com/realDonaldTrump/status/972585290857672704	21429	1520717340	The European Union, wonderful countries who treat the U.S. very badly on trade, are complaining about the tariffs on Steel & Aluminum. If they drop their horrific barriers & tariffs on U.S. products going in, we will likewise drop ours. Big Deficit. If not, we Tax Cars etc. FAIR!	[]	[]		realDonaldTrump
0.0	0.2761	year, country, china, trade, pay, deal, tariff, money, lose, dollar	1127965568747933696	74088		https://twitter.com/realDonaldTrump/status/1127965568747933696	14777	1557762900	...completely avoided if you buy from a non-Tariffed Country, or you buy the product inside the USA (the best idea). That’s Zero Tariffs. Many Tariffed companies will be leaving China for Vietnam and other such countries in Asia. That’s why China wants to make a deal so badly!...	[]	[]		realDonaldTrump
0.0	0.2754	year, country, china, trade, pay, deal, tariff, money, lose, dollar	1003634405036961793	76754		https://twitter.com/realDonaldTrump/status/1003634405036961793	17964	1528120020	Farmers have not been doing well for 15 years. Mexico, Canada, China and others have treated them unfairly. By the time I finish trade talks, that will change. Big trade barriers against U.S. farmers, and other businesses, will finally be broken. Massive trade deficits no longer!	[]	[]		realDonaldTrump
0.0	0.2736	year, country, china, trade, pay, deal, tariff, money, lose, dollar	1004909785547001856	91758		https://twitter.com/realDonaldTrump/status/1004909785547001856	24483	1528424100	Why isn’t the European Union and Canada informing the public that for years they have used massive Trade Tariffs and non-monetary Trade Barriers against the U.S. Totally unfair to our farmers, workers & companies. Take down your tariffs & barriers or we will more than match you!	[]	[]		realDonaldTrump
0.0	0.273	year, country, china, trade, pay, deal, tariff, money, lose, dollar	1079900120047603713	101904		https://twitter.com/realDonaldTrump/status/1079900120047603713	23005	1546303200	MEXICO IS PAYING FOR THE WALL through the many billions of dollars a year that the U.S.A. is saving through the new Trade Deal, the USMCA, that will replace the horrendous NAFTA Trade Deal, which has so badly hurt our Country. Mexico & Canada will also thrive - good for all!	[]	[]		realDonaldTrump
