index	dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
0	0.0	0.1111	company, protect, cfpb, hold, accountable, consumer, equifax, agency, force, report	1134525852841074689	1310	https://www.warren.senate.gov/oversight/letters/warren-opens-investigation-into-private-detention-accreditation-system-after-widespread-reports-of-substandard-conditions-and-safety-concerns-in-multiple-facilities	https://twitter.com/SenWarren/status/1134525852841074689	453	1559326980	I'm opening an investigation into the accreditation process for private detention operators. If federal agencies rely on  @ACAinfo for detainees' safety, they must be accountable for proper conditions before we hand these companies huge govt contracts. ...	[]	['ACAinfo']		SenWarren
1	12.0	0.1975	interest, week, military, lead, action, gov, office, ensure, conflict, clear	1134525652894453760	686		https://twitter.com/SenWarren/status/1134525652894453760	217	1559326920	The American Correctional Association is in charge of accrediting private prison facilities to ensure they meet basic standards. But  @ACAinfo is ALSO the #1 trade association of the private prison industry. Those perverse incentives are a recipe for disaster.	['1']	['ACAinfo']		SenWarren
2	9.0	0.1013	public, health, state, cut, community, care, federal, service, provide, fund	1134525479392862208	2121	https://www.masslive.com/politics/2018/11/elizabeth_warren_ed_markey_que.html	https://twitter.com/SenWarren/status/1134525479392862208	728	1559326920	.  @ICEgov detains almost 50k immigrants – many in facilities run by for-profit companies. I’ve repeatedly pushed these contractors, auditors, & ICE about their failure to protect the health & safety of detainees. Today I’m taking another step. ...	[]	['ICEgov']		SenWarren
3	4.0	0.1852	work, american, worker, pay, government, job, deserve, hard, corporate, wage	1134506196436705280	8447	https://twitter.com/RepAOC/status/1134460336944361472	https://twitter.com/SenWarren/status/1134506196436705280	2107	1559322300	Thousands of loyal  @Sears employees lost their jobs because of Eddie Lampert. Now he’s trying to betray his promise to pay them the severance they earned.  @RepAOC and I are demanding answers. ...	[]	['Sears', 'RepAOC']		SenWarren
4	4.0	0.1175	work, american, worker, pay, government, job, deserve, hard, corporate, wage	1134182542792376320	2605		https://twitter.com/SenWarren/status/1134182542792376320	726	1559245140	The CRS report confirmed what most Americans already knew: the  #GOPTaxScam was a heist that stole from middle class families & handed that money over to big campaign donors. That’s corruption. It’s long past time for the rich & powerful to pay their fair share.	['GOPTaxScam']	[]		SenWarren
5	4.0	0.1343	work, american, worker, pay, government, job, deserve, hard, corporate, wage	1134182536614240266	1930		https://twitter.com/SenWarren/status/1134182536614240266	477	1559245140	So if they didn’t raise wages for workers or spend the money to grow the economy, what did CEOs use all of that  #GOPTaxScam money for? Stock buybacks that artificially pump up the company’s stock price for wealthy shareholders.	['GOPTaxScam']	[]	pic.twitter.com/0PuL4B33Zo	SenWarren
6	5.0	0.1738	bill, congress, pass, senate, give, tax, republican, break, money, gop	1134182533787279360	375		https://twitter.com/SenWarren/status/1134182533787279360	106	1559245140	Did people spend more money because of the  #GOPTaxScam? Nope. Turns out that the ultra-rich who got those tax breaks don’t need even more money for yachts & diamonds.	['GOPTaxScam']	[]	pic.twitter.com/jJqxIOSmdU	SenWarren
7	5.0	0.1226	bill, congress, pass, senate, give, tax, republican, break, money, gop	1134182531828518913	291		https://twitter.com/SenWarren/status/1134182531828518913	83	1559245140	Did giant corporations use their  #GOPTaxScam money to raise workers’ wages? Nope. No trickle-down here.	['GOPTaxScam']	[]	pic.twitter.com/tM7H306Ayf	SenWarren
8	3.0	0.0802	big, bank, rule, financial, run, lobbyist, wall_street, change, economy, banklobbyistact	1134182528481452032	290		https://twitter.com/SenWarren/status/1134182528481452032	88	1559245140	Did the  #GOPTaxScam grow the economy? Nope.	['GOPTaxScam']	[]	pic.twitter.com/pcki2uoT02	SenWarren
9	5.0	0.0977	bill, congress, pass, senate, give, tax, republican, break, money, gop	1134182526141030401	282		https://twitter.com/SenWarren/status/1134182526141030401	85	1559245140	First off, let’s just be clear: The  #GOPTaxScam helped giant corporations a heck of a lot more than middle class families. That’s a fact.	['GOPTaxScam']	[]	pic.twitter.com/fsBFhmEWrg	SenWarren
