dominant_topic_no	topic_contribution_percentage	topic_keyword	id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username
0.0	0.246	company, protect, cfpb, hold, accountable, consumer, equifax, agency, force, report	1068633406395813889	1876	https://www.recode.net/2018/1/10/16871928/equifax-elizabeth-warren-mark-warner-fine-bill	https://twitter.com/SenWarren/status/1068633406395813889	572	1543617000	We can start by passing my bill with  @MarkWarner to impose massive, mandatory penalties on companies like  @Equifax that expose people's personal information. We can’t allow companies to get away with leaving sensitive data vulnerable to hackers and thieves. ...	[]	['MarkWarner', 'Equifax']		SenWarren
0.0	0.23	company, protect, cfpb, hold, accountable, consumer, equifax, agency, force, report	1125859951145050113	4788		https://twitter.com/SenWarren/status/1125859951145050113	1514	1557260880	It’s been nearly 2 years since the  #EquifaxBreach – & Congress still hasn’t acted to protect consumers or prevent the next breach. So  @MarkWarner  @RepCummings,  @CongressmanRaja & I are reintroducing a bill to impose massive, mandatory fines when companies expose personal data.	['EquifaxBreach']	['MarkWarner', 'RepCummings', 'CongressmanRaja']	pic.twitter.com/3AglWEMWMj	SenWarren
0.0	0.2239	company, protect, cfpb, hold, accountable, consumer, equifax, agency, force, report	1038238000935837696	5082	https://www.marketwatch.com/story/gaos-equifax-report-company-left-private-data-vulnerable-on-several-fronts-2018-09-07	https://twitter.com/SenWarren/status/1038238000935837696	1904	1536370200	I spent 5 months investigating the  @Equifax breach.  @RepCummings and I also asked the GAO to review it. Their new report describes in painful detail how Equifax failed to protect the personal information of 148 million Americans: ...	[]	['Equifax', 'RepCummings']		SenWarren
0.0	0.2239	company, protect, cfpb, hold, accountable, consumer, equifax, agency, force, report	1105514898749120512	1964		https://twitter.com/SenWarren/status/1105514898749120512	772	1552410240	The  @CFPB is supposed to be a tough cop on the beat to protect consumers – but under  @MickMulvaneyOMB &  @CFPBDirector Kraninger’s watch, the CFPB is only looking out for the crooks. Director Kraninger should either do her job or resign.	[]	['CFPB', 'MickMulvaneyOMB', 'CFPBDirector']	pic.twitter.com/u1jG41ocPf	SenWarren
0.0	0.2222	company, protect, cfpb, hold, accountable, consumer, equifax, agency, force, report	1131712260039172096	1308	https://twitter.com/jecdems/status/1131594273999249412	https://twitter.com/SenWarren/status/1131712260039172096	335	1558656180	10 years ago this week, Congress passed a bipartisan bill to help get the tricks & traps out of the fine print of credit card agreements – but the fight’s not over. We need a strong  @CFPB to hold credit card companies accountable when they cheat customers & break the law. ...	[]	['CFPB']		SenWarren
1.0	0.2189	vote, senategop, health_care, million, gop, court, trump, nominee, spend, access	1017072382215950336	5205	http://www.wbur.org/radioboston/2018/07/10/elizabeth-warren-brett-kavanaugh	https://twitter.com/SenWarren/status/1017072382215950336	2278	1531323900	Brett Kavanaugh opposed a ruling that upheld the ACA. If confirmed to the Supreme Court, he could vote to strike down protections for people with pre-existing conditions. Health care for millions of Americans: that’s  #WhatsAtStake. ...	['WhatsAtStake']	[]		SenWarren
1.0	0.2175	vote, senategop, health_care, million, gop, court, trump, nominee, spend, access	1100134941847896064	5722	http://www.ncai.org/news/articles/2018/10/16/national-congress-of-american-indians-and-native-american-rights-fund-oppose-the-nomination-of-eric-miller-to-the-u-s-court-of-appeals-for-the-ninth-circuit	https://twitter.com/SenWarren/status/1100134941847896064	1896	1551127560	Eric Miller has spent his career working to gut tribal sovereignty, but Trump nominated him to sit on the appeals court with jurisdiction over 75% of federally recognized tribes. Confirming him would threaten tribal rights – so I'll be voting no today.  ...	[]	[]		SenWarren
1.0	0.2146	vote, senategop, health_care, million, gop, court, trump, nominee, spend, access	1103385915102298119	1286	https://www.washingtonpost.com/politics/2019/03/05/shame-democrats-slam-republicans-over-judicial-nominees-support-overturning-obamacare/?utm_term=.cd279de07fad	https://twitter.com/SenWarren/status/1103385915102298119	656	1551902640	Chad Readler led efforts to let giant insurance companies discriminate against Americans with pre-existing conditions. A vote to confirm him as a federal appeals court judge is a stamp of approval to rip health care away from millions of Americans. ...	[]	[]		SenWarren
1.0	0.2061	vote, senategop, health_care, million, gop, court, trump, nominee, spend, access	1068320430149328896	4908	https://twitter.com/politico/status/1068269882922463234	https://twitter.com/SenWarren/status/1068320430149328896	1004	1543542360	Thomas Farr never should have been nominated for a federal judgeship in the first place.  @SenatorTimScott's decision to vote no on Farr will keep him off the bench for now. We'll keep fighting to stop nominees like Farr from tilting our courts in favor of the rich and powerful. ...	[]	['SenatorTimScott']		SenWarren
1.0	0.2006	vote, senategop, health_care, million, gop, court, trump, nominee, spend, access	1047558413125935109	5593		https://twitter.com/SenWarren/status/1047558413125935109	2137	1538592360	The Trump Admin’s junk insurance plans discriminate against Americans with pre-existing conditions, & don’t have to cover prescription drugs or ER visits. I’m adding my name to  @SenatorBaldwin’s effort to overturn Trump’s junk plan rule & protect people's health care.  #NoJunkPlans	['NoJunkPlans']	['SenatorBaldwin']	pic.twitter.com/eDc1aXjjAQ	SenWarren
