id	likes	link	permalink	retweets	timestamp	tweet	tweet_hashtags	tweet_mentions	tweet_pic	username	topic_cluster	topic_keywords
795084117192810496	42151	https://www.donaldjtrump.com/press-releases/donald-j.-trump-statement13	https://twitter.com/realDonaldTrump/status/795084117192810496	16447	1478397780	Thank you Reno, Nevada. NOTHING will stop us in our quest to MAKE AMERICA SAFE AND GREAT AGAIN!  #AmericaFirst  ...	['AmericaFirst']	[]	pic.twitter.com/OoM3hsDWS1	realDonaldTrump	0	Polls/Interview/Press coverage/Debates
795058179168055296	15880	http://bit.ly/2fcz3wnRENO	https://twitter.com/realDonaldTrump/status/795058179168055296	4191	1478391600	Join me live in Reno, Nevada!  	[]	[]	pic.twitter.com/EPqRXHa1CM	realDonaldTrump	2	Trump rally/crowds/supporters/Republican primary
795057936565313536	16427	https://www.donaldjtrump.com/schedule/register/minneapolis-mn/	https://twitter.com/realDonaldTrump/status/795057936565313536	6208	1478391540	JOIN ME TOMORROW! MINNESOTA • 2pm  ... MICHIGAN • 6pm  ... VIRGINIA • 9:30pm  ...	[]	[]	pic.twitter.com/v4HF2UIIfP	realDonaldTrump	2	Trump rally/crowds/supporters/Republican primary
795019500345233408	19577	http://ijr.com/wildfire/2016/11/729300-homeland-security-committee-chairman-takes-hillary-clintons-scandal-to-highest-level-its-treason/	https://twitter.com/realDonaldTrump/status/795019500345233408	9610	1478382360	 #DrainTheSwamp!  ...	['DrainTheSwamp']	[]		realDonaldTrump	1	Crooked Hillary Clinton/Obama
795017781423067136	14595	http://www.lifezette.com/polizette/wikileaks-top-clinton-aides-bemoan-campaign-tactics-no-vision/	https://twitter.com/realDonaldTrump/status/795017781423067136	7164	1478381940	Top Clinton Aides Bemoan Campaign ‘All Tactics,’ No Vision: ...	[]	[]		realDonaldTrump	1	Crooked Hillary Clinton/Obama
795017350688935936	19027	http://dailycaller.com/2016/11/05/must-act-immediately-clinton-charity-lawyer-told-execs-they-were-breaking-the-law/	https://twitter.com/realDonaldTrump/status/795017350688935936	11239	1478381880	‘Must Act Immediately’: Clinton Charity Lawyer Told Execs They Were Breaking The Law ...	[]	[]		realDonaldTrump	1	Crooked Hillary Clinton/Obama
795014711716757504	18836		https://twitter.com/realDonaldTrump/status/795014711716757504	6034	1478381220	Watch Coach Mike Ditka- a great guy and supporter tonight at 8pmE on  #WattersWorld with  @jessebwatters  @FoxNews.	['WattersWorld']	['jessebwatters', 'FoxNews']		realDonaldTrump	0	Polls/Interview/Press coverage/Debates
794996097370427392	29326		https://twitter.com/realDonaldTrump/status/794996097370427392	9919	1478376780	Thank you Wilmington, North Carolina. We are 3 days away from the CHANGE you've been waiting for your entire life!  #MAGA  #VoteTrumpPence16!	['MAGA', 'VoteTrumpPence16']	[]	pic.twitter.com/QIlz0PmLV9	realDonaldTrump	1	Crooked Hillary Clinton/Obama
794994280829952000	21237	https://www.facebook.com/DonaldTrump/videos/10158062116155725/	https://twitter.com/realDonaldTrump/status/794994280829952000	7381	1478376360	Thank you for the incredible support this morning Tampa, Florida!  #ICYMI- watch here:  ...	['ICYMI']	[]	pic.twitter.com/1GscFNaV4L	realDonaldTrump	2	Trump rally/crowds/supporters/Republican primary
794943632176451584	14760	https://www.donaldjtrump.com/schedule/register/denver-co3/	https://twitter.com/realDonaldTrump/status/794943632176451584	5164	1478364300	Join me in Denver, Colorado tonight at 9:30pm:  ... NEW- Scranton, Pennsylvania Monday @5:30pm:  ...	[]	['5']		realDonaldTrump	2	Trump rally/crowds/supporters/Republican primary
794895332941381633	103931		https://twitter.com/realDonaldTrump/status/794895332941381633	51809	1478352780	MAKE AMERICA GREAT AGAIN!	[]	[]		realDonaldTrump	0	Polls/Interview/Press coverage/Debates
794734211559292928	25464	http://bit.ly/2fMJnrmHersheyPA	https://twitter.com/realDonaldTrump/status/794734211559292928	9199	1478314320	Thank you Hershey, Pennsylvania. Get out & VOTE on November 8th & we will  #MAGA!  #RallyForRiley  #ICYMI, watch here:  ...	['MAGA', 'RallyForRiley', 'ICYMI']	[]	pic.twitter.com/lLxAN6VZNo	realDonaldTrump	2	Trump rally/crowds/supporters/Republican primary
794690094594740224	14987	https://www.donaldjtrump.com/schedule/register/denver-co3/	https://twitter.com/realDonaldTrump/status/794690094594740224	4837	1478303820	Join me in Denver, Colorado tomorrow at 9:30pm! Tickets:  ...	[]	[]		realDonaldTrump	2	Trump rally/crowds/supporters/Republican primary
794688416663437312	17684	http://bit.ly/2fMJnrmHersheyPA	https://twitter.com/realDonaldTrump/status/794688416663437312	5942	1478303400	Join me live in Hershey, Pennsylvania!  #MakeAmericaGreatAgain LIVE:  ...	['MakeAmericaGreatAgain']	[]	pic.twitter.com/JWfGI1vlwW	realDonaldTrump	2	Trump rally/crowds/supporters/Republican primary
