username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JoeBiden;2019-05-31 18:05;1248;5961;"America’s teachers have been forced to make ends meet with too little pay and too few resources. That changes with a Biden Administration. We’ll finally support our educators with the pay and dignity they deserve.https://abcnews.go.com/Politics/joe-jill-biden-attend-american-federation-teachers-town/story?id=63319685 …";;;;"1134581569786695681";https://twitter.com/JoeBiden/status/1134581569786695681
JoeBiden;2019-05-31 14:05;772;3455;"One in five children experience mental health challenges, but too many don’t get help. My plan doubles the number of mental health professionals in schools to ensure every student gets the support they need. Read the full plan here: http://JoeBiden.com/Education pic.twitter.com/03B7c9Zza7";;;;"1134521171721052164";https://twitter.com/JoeBiden/status/1134521171721052164
JoeBiden;2019-05-31 12:35;602;3126;"Every day, we’re witnessing the Trump Administration attack the hard fought progress made by the LGBTQ community. We can't go backwards. It's up to all of us to stand up to these injustices. I'm looking forward to joining @ HRC tomorrow to talk about the work that remains.https://twitter.com/ChadHGriffin/status/1133472128601329664 …";;@;;"1134498619778899968";https://twitter.com/JoeBiden/status/1134498619778899968
JoeBiden;2019-05-30 20:30;221;1947;"Thad Cochran was a friend and a true patriot in every sense of the word. Jill and I are sending our condolences to Thad’s family, he will be sorely missed.";;;;"1134255673410064384";https://twitter.com/JoeBiden/status/1134255673410064384
JoeBiden;2019-05-30 20:01;344;2720;"Jill and I were honored to join today’s Memorial Day service in Delaware. We must remember the brave women and men — and their families — who gave everything in service to our nation.pic.twitter.com/h1B0JMNzT4";;;;"1134248373744164865";https://twitter.com/JoeBiden/status/1134248373744164865
JoeBiden;2019-05-30 19:33;1537;18933;"Thank you @ KamalaHarris from me, Jill, & all the Bidens for your kind remembrance of Beau today. My dad used to say that you know you are a success as a parent when you turn & look at your child & realize they turned out better than you — I'm so proud of the man Beau became.";;@;;"1134241402525749259";https://twitter.com/JoeBiden/status/1134241402525749259
JoeBiden;2019-05-30 17:34;316;1458;"We’ve got to invest in every child — regardless of zip code or race or parents' income. In a Biden Administration, we’ll provide high-quality, universal pre-K for all three- and four-year-olds to ensure every kid gets a fair shot. Read the full plan: http://JoeBiden.com/Education pic.twitter.com/aKBwTe8bJO";;;;"1134211380377260037";https://twitter.com/JoeBiden/status/1134211380377260037
JoeBiden;2019-05-30 15:34;2177;8538;"South Carolina would be lucky to have @ harrisonjaime representing them in the Senate. He has the character, intelligence, and integrity needed to serve his community well. I hope you'll # JoinJaime.https://twitter.com/harrisonjaime/status/1133674358361206786 …";;@;#;"1134181199918841856";https://twitter.com/JoeBiden/status/1134181199918841856
JoeBiden;2019-05-29 19:45;290;1634;"Our motivated students make me believe America’s best days are still ahead. Thank you to Mayor @ Mike_Rawlings and @ SPARKDallas for a great afternoon.pic.twitter.com/vqKIVQu7I4";;@ @;;"1133882123276967936";https://twitter.com/JoeBiden/status/1133882123276967936
JoeBiden;2019-05-29 15:34;341;2287;"We had a great first day in Texas! Thank you to @ rweingarten and @ AFTunion for the discussion on how we improve our education system. It's time we increase teacher pay and ensure that no child’s future is determined by their zip code, parents’ income, race, or disability.pic.twitter.com/qnghcHg2Y9";;@ @;;"1133818793891913728";https://twitter.com/JoeBiden/status/1133818793891913728
JoeBiden;2019-05-28 20:34;324;2056;"There is no doubt in my mind that if we take these steps, no nation on earth will be able to match the United States of America. To read more about our plan, head to http://JoeBiden.com/Education .";;;;"1133531926642470913";https://twitter.com/JoeBiden/status/1133531926642470913
JoeBiden;2019-05-28 20:34;321;2298;"Our children are our future, it’s time we start investing in them from birth.pic.twitter.com/WkDxxamJlT";;;;"1133531921122779137";https://twitter.com/JoeBiden/status/1133531921122779137
JoeBiden;2019-05-28 20:34;122;697;"It’s our responsibility to provide every middle and high school student a path to a successful career.pic.twitter.com/SlVRJSuw68";;;;"1133531911668867073";https://twitter.com/JoeBiden/status/1133531911668867073
JoeBiden;2019-05-28 20:33;118;417;"In America, no child’s future should be determined by their zip code, parents’ income, race, or disability.pic.twitter.com/Q43YWyq6K8";;;;"1133531898247045120";https://twitter.com/JoeBiden/status/1133531898247045120
JoeBiden;2019-05-28 20:33;102;410;"We must invest in our public schools so students can grow into healthy adults and educators can focus on teaching.pic.twitter.com/f6xHzfTq8o";;;;"1133531887203475456";https://twitter.com/JoeBiden/status/1133531887203475456
JoeBiden;2019-05-28 20:33;129;481;"It’s time we give our educators the pay and dignity they deserve.pic.twitter.com/Hzhr7jZF4t";;;;"1133531875597799425";https://twitter.com/JoeBiden/status/1133531875597799425
JoeBiden;2019-05-28 20:33;1405;8579;"Our plan will increase teacher pay and provide them with the support they deserve. We’ll invest in all children from birth, so that regardless of their zip code, parents’ income, race, or disability they are prepared to succeed in tomorrow’s economy.";;;;"1133531869214060546";https://twitter.com/JoeBiden/status/1133531869214060546
JoeBiden;2019-05-28 17:41;1442;6555;"I’ve seen firsthand how hard teachers work with little support and few resources. We’ve got to do better. That’s why today, surrounded by America’s teachers, we laid out our plan for educators, students, and our future: http://JoeBiden.com/Education .pic.twitter.com/6UxCx8bvjb";;;;"1133488485619437568";https://twitter.com/JoeBiden/status/1133488485619437568
JoeBiden;2019-05-28 13:59;799;3666;"Teachers like Ronniece are not only educating our children — they’re building the future of our country.pic.twitter.com/Jr1Qf84sfq";;;;"1133432497872756737";https://twitter.com/JoeBiden/status/1133432497872756737
JoeBiden;2019-05-27 10:01;3729;21567;"Every # MemorialDay, Jill and I remember those who made the ultimate sacrifice in service of our nation. Our troops are the heart, soul, & spine of America—may we never fail to honor the memory of those who have fallen and ensure their spirit lives on in both our words and deeds.";;;#;"1133010215413080064";https://twitter.com/JoeBiden/status/1133010215413080064
JoeBiden;2019-05-26 18:10;4297;19423;"Everybody knows who Donald Trump is, we have to let them know who we are. We choose hope over fear. Truth over lies. And unity over division.pic.twitter.com/X2eLN3xe7M";;;;"1132770888305303555";https://twitter.com/JoeBiden/status/1132770888305303555
JoeBiden;2019-05-26 14:35;1657;9396;"I’m running to offer our country a different path. Not back to a past that never was, but to a future that lives up to our founding ideals and fulfills our true promise as a country. If you’re with me, join our campaign today:http://JoeBiden.com/Join";;;;"1132716782295408646";https://twitter.com/JoeBiden/status/1132716782295408646
JoeBiden;2019-05-25 16:29;1863;8191;"Across the country, too many families are being left behind. We’ve got to rebuild an inclusive middle class where everybody — regardless of race, gender, religion, ethnicity, sexual orientation, or disability — gets a fair shot.https://www.npr.org/sections/health-shots/2019/05/21/725059882/poll-many-rural-americans-struggle-with-financial-insecurity-access-to-health-ca …";;;;"1132383084446281728";https://twitter.com/JoeBiden/status/1132383084446281728
JoeBiden;2019-05-25 13:50;290;1476;"With so much happening on the campaign, we want to make sure you’re up-to-date on the latest news. Text JOIN right now to 30330 to make sure you don’t miss a thing!";;;;"1132343069355991040";https://twitter.com/JoeBiden/status/1132343069355991040
JoeBiden;2019-05-25 10:45;1530;7769;"Let me make one thing clear, the promise of this nation will not be extinguished on my watch.pic.twitter.com/2v21dxil7K";;;;"1132296512224894976";https://twitter.com/JoeBiden/status/1132296512224894976
JoeBiden;2019-05-24 16:16;1647;9258;"I can promise you this: I will do whatever it takes to make progress on the issues that matter most.pic.twitter.com/Ta7066wGlB";;;;"1132017423312252929";https://twitter.com/JoeBiden/status/1132017423312252929
JoeBiden;2019-05-23 18:20;1834;9455;"I know how to make government work — not because I’ve talked or tweeted about it. But because I’ve done it.pic.twitter.com/gHn7DJP4pO";;;;"1131686241693573121";https://twitter.com/JoeBiden/status/1131686241693573121
JoeBiden;2019-05-23 15:51;709;3001;"I’m proud to stand with @ SEIU and workers across the country today in the # FightFor15. We must restore the dignity of work and ensure everyone’s treated with respect. That starts with raising the minimum wage to $15, strengthening our unions, and creating safe work environments.https://twitter.com/SEIU/status/1131561297525596160 …";;@;#;"1131648787418685440";https://twitter.com/JoeBiden/status/1131648787418685440
JoeBiden;2019-05-23 09:00;4307;17170;"Over the last year, six children have tragically died in US custody at the border. It’s unacceptable. It’s not who we are. And silence is complicity. It’s on all of us to stand up and speak out. America is a nation of immigrants. We must guarantee everyone's treated with dignity.";;;;"1131545449201061889";https://twitter.com/JoeBiden/status/1131545449201061889
JoeBiden;2019-05-22 20:27;1037;5870;"On Saturday, we officially kicked off our campaign in Philadelphia — the city that brought our nation together over 200 years ago. I’m running for president to unite our country, because when we come together and act as one America there’s nothing we can’t accomplish.pic.twitter.com/syRNWo5c6i";;;;"1131355813757374465";https://twitter.com/JoeBiden/status/1131355813757374465
JoeBiden;2019-05-22 19:22;1410;5693;"In the 25 years since we passed the Violence Against Women Act, we’ve made great strides in protecting women from abuse. But the latest reauthorization is being held up by the @ NRA. It’s outrageous. This shouldn’t be a partisan issue—the Senate should pass the # VAWA immediately.";;@;#;"1131339456399781891";https://twitter.com/JoeBiden/status/1131339456399781891
JoeBiden;2019-05-21 19:45;2025;9683;"Our politics today has become so mean and petty — it traffics in division and our president is the divider in chief. This is not who we are.pic.twitter.com/M8geqIO5P0";;;;"1130982857172766720";https://twitter.com/JoeBiden/status/1130982857172766720
JoeBiden;2019-05-21 18:01;938;4556;"We were born of an idea that every single person — no matter where they come from — can achieve anything if they work at it.pic.twitter.com/uczQ2fBRM6";;;;"1130956684136857600";https://twitter.com/JoeBiden/status/1130956684136857600
